grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,2838.6141826240864,31,0.0,0.0,0.0,0.0,2960.903288810484,3044.374541510608,-205.76035888652177
3052_46754,2880.4068919948563,31,1.0,0.0,0.0,0.0,2430.1939894153224,3767.0945717658187,-886.6876797709624
3052_46756,67166.93191957181,31,0.0,1.0,0.0,0.0,53804.70060483871,18998.83475515611,48168.0971644157
3053_46755,6127.72313663383,31,0.0,0.0,1.0,0.0,5161.1902721774195,4893.721102806051,1234.002033827779
3053_46756,57182.21785793568,31,1.0,1.0,0.0,0.0,47247.17741935484,23507.824031161213,33674.39382677447
3054_46753,4331.999651125235,31,0.0,0.0,0.0,0.0,5010.806325604839,3044.374541510608,1287.6251096146266
3054_46755,21028.566052892,31,3.0,0.0,0.0,0.0,16012.159022177419,4661.328560324817,16367.237492567185
3055_46754,4583.929739990176,31,0.0,1.0,0.0,0.0,5545.676159274193,18998.83475515611,-14414.905015165932
3057_46762,5904.795232447592,31,1.0,0.0,0.0,0.0,4086.5803931451615,3767.0945717658187,2137.700660681773
3106_46960,3859.078251654591,31,0.0,0.0,0.0,0.0,2948.386781754032,3044.374541510608,814.7037101439828
3126_47008,2664.130158260362,31,0.0,0.0,0.0,0.0,2784.9674269153224,3044.374541510608,-380.2443832502463
3129_46988,3324.20891519964,31,0.0,0.0,0.0,0.0,2672.644972278226,3044.374541510608,279.83437368903196
3146_46979,8896.038380197055,31,1.0,0.0,0.0,0.0,6812.516885080645,3767.0945717658187,5128.943808431236
3149_47014,2381.423815658887,31,0.0,0.0,0.0,0.0,1578.9688760080646,3044.374541510608,-662.950725851721
3156_47014,3231.690812280234,31,0.0,0.0,0.0,0.0,2171.677293346774,3044.374541510608,187.3162707696256
3162_46902,2559.2470304562785,31,0.0,0.0,0.0,0.0,2317.0323210685483,3044.374541510608,-485.1275110543297
3164_46999,2255.605892736455,31,0.0,0.0,0.0,0.0,1868.935767389113,3044.374541510608,-788.768648774153
3170_46902,2817.4993909746217,31,0.0,0.0,0.0,0.0,2528.5487021169356,3044.374541510608,-226.87515053598645
3172_46989,3567.790669751893,31,0.0,0.0,0.0,0.0,4118.258127520161,3044.374541510608,523.4161282412847
3176_47014,3414.488554679118,31,0.0,0.0,0.0,0.0,3152.677230342742,3044.374541510608,370.1140131685097
