grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3052_46756,67166.93191957181,18998.83475515611,48168.0971644157,31,0.0,1.0,0.0,0.0,transport,public_service,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3295_46915,39662.47648452719,3044.374541510608,36618.101943016576,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3053_46756,57182.21785793568,23507.824031161213,33674.39382677447,31,1.0,1.0,0.0,0.0,transport,life,economy,public_service,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3054_46755,21028.566052892,4661.328560324817,16367.237492567185,31,3.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3302_46888,15978.787718205467,6055.323045454485,9923.464672750984,31,1.0,0.0,1.0,0.0,economy,life,transport,public_service,0.515,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3296_46900,11260.619197705591,3044.374541510608,8216.244656194984,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3318_46884,11139.09949601552,3767.0945717658183,7372.004924249702,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3319_46884,9131.4596791995,3044.374541510608,6087.085137688893,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3228_46887,9097.780029408894,3044.374541510608,6053.405487898286,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3226_46885,8849.19810768345,3044.374541510608,5804.823566172843,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
