grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_negative
3055_46754,4583.929739990176,31,0.0,1.0,0.0,0.0,5545.676159274193,18998.83475515611,-14414.905015165932,1
3286_46873,9219.836968763437,31,0.0,1.0,0.0,0.0,7423.257938508064,18998.83475515611,-9778.997786392672,2
3314_46885,2232.0360896388947,31,1.0,0.0,1.0,0.0,1983.548355594758,6055.323045454485,-3823.28695581559,3
3315_46939,1850.8292205644564,31,0.0,0.0,1.0,0.0,1070.387238533266,4893.721102806051,-3042.8918822415944,4
3313_46887,1292.1103452496898,31,1.0,0.0,0.0,0.0,2301.580582157258,3767.0945717658183,-2474.9842265161287,5
3313_46884,2513.3736094130804,31,0.0,0.0,1.0,0.0,2158.4189453125,4893.721102806051,-2380.3474933929706,6
3315_46886,782.9947401457841,31,0.0,0.0,0.0,0.0,1410.4517389112902,3044.374541510608,-2261.379801364824,7
3311_46889,3082.647586923376,31,5.0,0.0,0.0,0.0,2489.5811491935483,5279.813623950852,-2197.166037027476,8
3310_46886,2141.8792815532984,31,2.0,0.0,0.0,0.0,1972.451108870968,4266.954283670186,-2125.0750021168874,9
3313_46885,2267.7747210272505,31,2.0,0.0,0.0,0.0,2215.4190398185483,4266.954283670186,-1999.1795626429357,10
3314_46887,1971.434286980376,31,1.0,0.0,0.0,0.0,1280.4188508064517,3767.0945717658183,-1795.6602847854426,11
3351_46983,2096.461564181674,31,1.0,0.0,0.0,0.0,1687.9356098790322,3767.0945717658183,-1670.6330075841447,12
3222_47008,2253.5885043305634,31,1.0,0.0,0.0,0.0,1996.1615423387095,3767.0945717658183,-1513.506067435255,13
3308_46883,2346.695443265995,31,1.0,0.0,0.0,0.0,2207.1613533266127,3767.0945717658183,-1420.3991284998235,14
3312_46887,3497.350452052613,31,0.0,0.0,1.0,0.0,3070.7745085685483,4893.721102806051,-1396.370650753438,15
3190_46978,1691.758303300085,31,0.0,0.0,0.0,0.0,1537.0322265625,3044.374541510608,-1352.6162382105235,16
3299_46914,2560.006113081951,31,1.0,0.0,0.0,0.0,2158.6775138608878,3767.0945717658183,-1207.088458683868,17
3238_46934,1992.0917541571755,31,0.0,0.0,0.0,0.0,1935.225869455645,3044.374541510608,-1052.282787353433,18
3244_46887,2021.1744223784924,31,0.0,0.0,0.0,0.0,1913.0968371975807,3044.374541510608,-1023.2001191321158,19
3238_47003,2777.6525937288307,31,1.0,0.0,0.0,0.0,2670.355405745968,3767.0945717658183,-989.441978036988,20
