grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_positive
3052_46756,67166.93191957181,31,0.0,1.0,0.0,0.0,53804.70060483871,18998.83475515611,48168.0971644157,1
3295_46915,39662.47648452719,31,0.0,0.0,0.0,0.0,44589.29637096774,3044.374541510608,36618.101943016576,2
3053_46756,57182.21785793568,31,1.0,1.0,0.0,0.0,47247.17741935484,23507.824031161213,33674.39382677447,3
3054_46755,21028.566052892,31,3.0,0.0,0.0,0.0,16012.15902217742,4661.328560324817,16367.237492567185,4
3302_46888,15978.787718205467,31,1.0,0.0,1.0,0.0,14359.753780241936,6055.323045454485,9923.464672750984,5
3296_46900,11260.619197705591,31,0.0,0.0,0.0,0.0,11161.76335685484,3044.374541510608,8216.244656194984,6
3318_46884,11139.09949601552,31,1.0,0.0,0.0,0.0,8650.840473790322,3767.0945717658183,7372.004924249702,7
3319_46884,9131.4596791995,31,0.0,0.0,0.0,0.0,6984.354460685484,3044.374541510608,6087.085137688893,8
3228_46887,9097.780029408894,31,0.0,0.0,0.0,0.0,7185.2534022177415,3044.374541510608,6053.405487898286,9
3226_46885,8849.19810768345,31,0.0,0.0,0.0,0.0,6981.806955645161,3044.374541510608,5804.823566172843,10
3319_46883,14794.62639911408,31,2.0,0.0,2.0,0.0,9447.386844758064,9053.413066974228,5741.213332139852,11
3312_46894,9053.87643792622,31,1.0,0.0,0.0,0.0,3464.708842615928,3767.0945717658183,5286.781866160401,12
3146_46979,8896.038380197055,31,1.0,0.0,0.0,0.0,6812.516885080645,3767.0945717658183,5128.943808431236,13
3257_47012,9446.079224198696,31,0.0,0.0,1.0,0.0,7624.611769153225,4893.721102806051,4552.358121392644,14
3318_46889,7692.752443972405,31,1.0,0.0,0.0,0.0,6030.22542842742,3767.0945717658183,3925.657872206586,15
3310_46891,6931.58379710208,31,0.0,0.0,0.0,0.0,5251.3526965725805,3044.374541510608,3887.209255591472,16
3311_46880,8114.103309100073,31,0.0,0.0,1.0,0.0,9680.87411794355,4893.721102806051,3220.3822062940217,17
3057_46762,5904.795232447592,31,1.0,0.0,0.0,0.0,4086.5803931451615,3767.0945717658183,2137.700660681773,18
3303_47014,4470.361690692165,31,0.0,0.0,0.0,0.0,2937.8736769153224,3044.374541510608,1425.987149181557,19
3316_46889,4406.621579274117,31,0.0,0.0,0.0,0.0,3468.4517389112902,3044.374541510608,1362.2470377635086,20
