grid_id,daily_y_pred_mean,daily_y_true_mean,n_days_crowd,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,poi_cnt_life_scarcity_q,poi_cnt_transport_scarcity_q,poi_cnt_economy_scarcity_q,poi_cnt_public_service_scarcity_q,n_days
3049_46756,4015.053492965358,2721.5109226392665,92,19345.554912860574,13,0.0,0.0,0.0,0.0,19259.92345252404,20915.234289398384,-1569.679376537806,0.645,0.515,0.55,0.495,92
3052_46754,4173.0810352951785,2651.478664232337,92,20589.498009314902,13,1.0,0.0,0.0,0.0,18764.310546875,25844.931387721084,-5255.433378406182,0.18000000000000005,0.515,0.55,0.495,92
3052_46756,102118.25623304931,58883.213994565216,92,448710.6544471154,13,0.0,1.0,0.0,0.0,416711.9423076923,125748.2790390204,322962.37540809496,0.645,0.015000000000000013,0.55,0.495,92
3053_46755,9496.798980449672,5673.467051630435,92,40790.135441706734,13,0.0,0.0,1.0,0.0,40150.68990384616,32802.770192282165,7987.365249424569,0.645,0.515,0.06000000000000005,0.495,92
3053_46756,88254.40949190852,51357.30230978261,92,383808.0018028846,13,1.0,1.0,0.0,0.0,363451.6538461539,155385.82504361082,228422.1767592738,0.18000000000000005,0.015000000000000013,0.55,0.495,92
3054_46753,5659.913556922126,4250.162321671196,92,28890.22889122596,13,0.0,0.0,0.0,0.0,30078.071814903848,20915.234289398384,7974.994601827577,0.645,0.515,0.55,0.495,92
3054_46755,32731.373381960577,18350.111328125,92,143813.9657451923,13,3.0,0.0,0.0,0.0,129862.3263221154,31936.496972740268,111877.46877245203,0.010000000000000009,0.515,0.55,0.495,92
3055_46754,6591.4267206333525,4554.218134341033,92,30682.48358623798,13,0.0,1.0,0.0,0.0,32229.851412259617,125748.2790390204,-95065.79545278242,0.645,0.015000000000000013,0.55,0.495,92
3057_46762,7673.42289948243,4953.249830163043,92,40213.397911658656,13,1.0,0.0,0.0,0.0,35053.76802884616,25844.931387721084,14368.466523937572,0.18000000000000005,0.515,0.55,0.495,92
3106_46960,5175.767757662498,3409.0435419497285,92,24381.963529146637,13,0.0,0.0,0.0,0.0,24125.538912259617,20915.234289398384,3466.729239748249,0.645,0.515,0.55,0.495,92
3126_47008,3513.773341952495,2922.282661769701,92,17366.057035006008,13,0.0,0.0,0.0,0.0,20680.76960637019,20915.234289398384,-3549.177254392376,0.645,0.515,0.55,0.495,92
3129_46988,4127.981708060945,2936.3481657608695,92,22199.109825721152,13,0.0,0.0,0.0,0.0,20780.310096153848,20915.234289398384,1283.8755363227683,0.645,0.515,0.55,0.495,92
3146_46979,12406.045173547845,8199.185122282608,92,58681.03102463942,13,1.0,0.0,0.0,0.0,58025.00240384616,25844.931387721084,32836.09963691834,0.18000000000000005,0.515,0.55,0.495,92
3149_47014,2927.195336302767,2167.391654636549,92,16119.67891751803,13,0.0,0.0,0.0,0.0,15338.464017427885,20915.234289398384,-4795.555371880355,0.645,0.515,0.55,0.495,92
3156_47014,3323.106687522885,3090.8696501358695,92,20724.338153545672,13,0.0,0.0,0.0,0.0,21873.84675480769,20915.234289398384,-190.89613585271215,0.645,0.515,0.55,0.495,92
3162_46902,3310.0090080716177,2380.3589610224185,92,16863.52208533654,13,0.0,0.0,0.0,0.0,16845.61726262019,20915.234289398384,-4051.712204061845,0.645,0.515,0.55,0.495,92
3164_46999,2821.9657647836893,2482.217433763587,92,15484.450927734377,13,0.0,0.0,0.0,0.0,17566.46183894231,20915.234289398384,-5430.783361664009,0.645,0.515,0.55,0.495,92
3170_46902,3535.6967951544775,2844.869289232337,92,18585.802959735574,13,0.0,0.0,0.0,0.0,20132.92112379808,20915.234289398384,-2329.431329662806,0.645,0.515,0.55,0.495,92
3172_46989,4909.167928818264,3813.1853770380435,92,26270.99083533654,13,0.0,0.0,0.0,0.0,26985.619591346152,20915.234289398384,5355.756545938155,0.645,0.515,0.55,0.495,92
3176_47014,4381.94266082787,3374.4456734035325,92,23152.47686298077,13,0.0,0.0,0.0,0.0,23880.69245793269,20915.234289398384,2237.2425735823854,0.645,0.515,0.55,0.495,92
3183_46902,2936.4601342082124,2183.6087593410325,92,15286.690786508414,13,0.0,0.0,0.0,0.0,15453.231219951924,20915.234289398384,-5628.54350288997,0.645,0.515,0.55,0.495,92
3186_46902,4632.672427488361,3322.4017705502715,92,23903.920259915867,13,2.0,0.0,0.0,0.0,23512.38176081731,29250.98376884917,-5347.063508933308,0.040000000000000036,0.515,0.55,0.495,92
3188_47014,5305.409027393376,3639.967539911685,92,24879.696814903848,13,0.0,0.0,0.0,0.0,25759.77028245192,20915.234289398384,3964.462525505464,0.645,0.515,0.55,0.495,92
3190_46906,3113.02823906033,2392.9562775985055,92,16473.23005558894,13,0.0,0.0,0.0,0.0,16934.76750300481,20915.234289398384,-4442.004233809443,0.645,0.515,0.55,0.495,92
3190_46978,2657.643775933065,1708.8804984714675,92,12618.083327073316,13,0.0,0.0,0.0,0.0,12093.61651141827,20915.234289398384,-8297.150962325068,0.645,0.515,0.55,0.495,92
3201_46924,3103.0639215439505,2267.565228006114,92,16096.098707932691,13,0.0,0.0,0.0,0.0,16047.384690504809,20915.234289398384,-4819.135581465693,0.645,0.515,0.55,0.495,92
3206_46983,2753.4039079535028,2009.4129267153533,92,13931.569204477164,13,0.0,0.0,0.0,0.0,14220.460712139424,20915.234289398384,-6983.66508492122,0.645,0.515,0.55,0.495,92
3208_46975,4315.000847102337,3036.6629585597825,92,22000.36046424279,13,0.0,0.0,0.0,0.0,21490.23016826923,20915.234289398384,1085.1261748444049,0.645,0.515,0.55,0.495,92
3210_46983,3019.9142063458507,2289.1303923233695,92,15182.969388521637,13,0.0,0.0,0.0,0.0,16199.99969951923,20915.234289398384,-5732.264900876749,0.645,0.515,0.55,0.495,92
3214_46982,3211.0052889416343,2314.93455969769,92,16098.197415865385,13,0.0,0.0,0.0,0.0,16382.613807091346,20915.234289398384,-4817.036873532999,0.645,0.515,0.55,0.495,92
3222_46975,3725.637055941188,2846.652152683424,92,17557.363431490383,13,0.0,0.0,0.0,0.0,20145.53831129808,20915.234289398384,-3357.870857908001,0.645,0.515,0.55,0.495,92
3222_46983,3513.9069018922764,2801.587062669837,92,19536.163855919476,13,1.0,0.0,0.0,0.0,19826.61613581731,25844.931387721084,-6308.767531801612,0.18000000000000005,0.515,0.55,0.495,92
3222_47008,3013.6160724269607,2161.434676460598,92,14973.010591947115,13,1.0,0.0,0.0,0.0,15296.30694110577,25844.931387721084,-10871.920795773967,0.18000000000000005,0.515,0.55,0.495,92
3223_46832,8224.03151895827,5924.020168138587,92,40091.95267427885,13,0.0,0.0,2.0,0.0,41923.85336538462,42681.41515591981,-2589.4624816409705,0.645,0.515,0.0050000000000000044,0.495,92
3223_47015,3493.4305073050373,4180.934273097826,92,23574.18526517428,13,0.0,0.0,0.0,0.0,29588.150240384617,20915.234289398384,2658.9509757758933,0.645,0.515,0.55,0.495,92
3226_46885,11076.075859816876,8936.859375,92,58959.67067307692,13,0.0,0.0,0.0,0.0,63245.46634615384,20915.234289398384,38044.43638367853,0.645,0.515,0.55,0.495,92
3228_46887,12313.392012597198,8712.880689538044,92,60619.20042067308,13,0.0,0.0,0.0,0.0,61660.386418269234,20915.234289398384,39703.96613127469,0.645,0.515,0.55,0.495,92
3235_47014,4795.184038560502,2966.5218877377715,92,25761.14862530048,13,0.0,0.0,0.0,0.0,20993.847205528848,20915.234289398384,4845.914335902096,0.645,0.515,0.55,0.495,92
3236_46887,3193.798583681391,2328.5977836277175,92,16175.185321514424,13,0.0,0.0,0.0,0.0,16479.307391826922,20915.234289398384,-4740.04896788396,0.645,0.515,0.55,0.495,92
3238_46925,2868.3821705833766,2148.4999150815215,92,14927.194673978363,13,0.0,0.0,0.0,0.0,15204.768629807691,20915.234289398384,-5988.039615420019,0.645,0.515,0.55,0.495,92
3238_46934,2864.724792542282,1941.173976732337,92,13193.026123046877,13,0.0,0.0,0.0,0.0,13737.538236177885,20915.234289398384,-7722.208166351509,0.645,0.515,0.55,0.495,92
3238_46978,3216.307606601296,2481.576171875,92,16195.44424203726,13,0.0,0.0,0.0,0.0,17561.923677884617,20915.234289398384,-4719.790047361124,0.645,0.515,0.55,0.495,92
3238_47003,3443.9726240700356,2866.4126825747285,92,18271.507831280047,13,1.0,0.0,0.0,0.0,20285.38206129808,25844.931387721084,-7573.423556441037,0.18000000000000005,0.515,0.55,0.495,92
3239_46940,3100.34703118379,2200.4785368546195,92,15021.59416316106,13,0.0,0.0,0.0,0.0,15572.617337740385,20915.234289398384,-5893.640126237326,0.645,0.515,0.55,0.495,92
3240_46979,3738.0720539469185,3550.2493312669835,92,17529.57733623798,13,0.0,0.0,0.0,0.0,25124.84356219952,20915.234289398384,-3385.656953160404,0.645,0.515,0.55,0.495,92
3242_46908,3328.1517236736445,2369.9024286684785,92,16433.065166766828,13,0.0,0.0,0.0,0.0,16771.6171875,20915.234289398384,-4482.169122631556,0.645,0.515,0.55,0.495,92
3244_46887,2726.868092872803,1949.1849842900815,92,14116.430138221154,13,0.0,0.0,0.0,0.0,13794.232196514424,20915.234289398384,-6798.80415117723,0.645,0.515,0.55,0.495,92
3245_46887,2978.123957081373,2120.032364555027,92,15128.901029146637,13,0.0,0.0,0.0,0.0,15003.30596454327,20915.234289398384,-5786.333260251749,0.645,0.515,0.55,0.495,92
3246_46910,2873.8924358889244,1955.1521845278533,92,14073.694016676684,13,0.0,0.0,0.0,0.0,13836.46161358173,20915.234289398384,-6841.540272721701,0.645,0.515,0.55,0.495,92
3256_47013,5121.321535495861,3905.673934273098,92,27578.973294771637,13,1.0,0.0,0.0,0.0,27640.15399639423,25844.931387721084,1734.0419070505486,0.18000000000000005,0.515,0.55,0.495,92
3257_47012,13195.6526589227,8687.565514605978,92,62759.53643329327,13,0.0,0.0,1.0,0.0,61481.23287259616,32802.770192282165,29956.7662410111,0.645,0.515,0.06000000000000005,0.495,92
3286_46873,11620.12969459508,8623.990149456522,92,58874.550105168266,13,0.0,1.0,0.0,0.0,61031.31490384616,125748.2790390204,-66873.72893385214,0.645,0.015000000000000013,0.55,0.495,92
3288_46928,3947.052316834222,2720.7614109205165,92,19739.825138972355,13,0.0,0.0,0.0,0.0,19254.61921574519,20915.234289398384,-1175.4091504260286,0.645,0.515,0.55,0.495,92
3289_46886,4111.45649176058,3132.3896484375,92,21024.7138671875,13,0.0,0.0,0.0,0.0,22167.69035456731,20915.234289398384,109.47957778911588,0.645,0.515,0.55,0.495,92
3294_46886,3600.4319895300805,2894.8369989809785,92,19063.52264873798,13,1.0,0.0,0.0,0.0,20486.53876201923,25844.931387721084,-6781.408738983104,0.18000000000000005,0.515,0.55,0.495,92
3295_46894,4899.374851540122,3874.8048997961955,92,26073.124361478367,13,0.0,0.0,0.0,0.0,27421.69621394231,20915.234289398384,5157.890072079983,0.645,0.515,0.55,0.495,92
3295_46915,56071.75996423935,41971.01120913676,92,258299.3386418269,13,0.0,0.0,0.0,0.0,297025.6033653846,20915.234289398384,237384.10435242852,0.645,0.515,0.55,0.495,92
3296_46895,6529.162589029109,4305.445630944293,92,31772.88848407452,13,1.0,0.0,0.0,0.0,30469.30754206731,25844.931387721084,5927.957096353435,0.18000000000000005,0.515,0.55,0.495,92
3296_46900,14876.260346801131,11455.858823029892,92,72845.47250600961,13,0.0,0.0,0.0,0.0,81072.23167067308,20915.234289398384,51930.23821661122,0.645,0.515,0.55,0.495,92
3299_46914,3358.470515151557,2727.891410495924,92,16918.48553936298,13,1.0,0.0,0.0,0.0,19305.077674278848,25844.931387721084,-8926.445848358104,0.18000000000000005,0.515,0.55,0.495,92
3302_46888,21229.617335238352,14917.193529211956,92,104761.11268028848,13,1.0,0.0,1.0,0.0,105567.83112980767,40534.21211884845,64226.900561440016,0.18000000000000005,0.515,0.06000000000000005,0.495,92
3303_47014,5742.378534601558,3947.336871603261,92,29788.13750751202,13,0.0,0.0,0.0,0.0,27934.99939903846,20915.234289398384,8872.903218113635,0.645,0.515,0.55,0.495,92
3307_46896,5775.173132993455,4662.3596138332205,92,31772.63048377404,13,1.0,0.0,0.0,0.0,32995.160344050484,25844.931387721084,5927.699096052955,0.18000000000000005,0.515,0.55,0.495,92
3308_46883,3185.018196563952,2340.8596403702445,92,15855.67071063702,13,1.0,0.0,0.0,0.0,16566.076021634617,25844.931387721084,-9989.260677084065,0.18000000000000005,0.515,0.55,0.495,92
3308_46893,3643.3261227569583,2717.7175929857335,92,18983.065373347355,13,0.0,0.0,0.0,0.0,19233.078350360574,20915.234289398384,-1932.1689160510289,0.645,0.515,0.55,0.495,92
3310_46886,2752.3260094024126,2115.891346807065,92,14032.50869516226,13,2.0,0.0,0.0,0.0,14974.00030048077,29250.98376884917,-15218.475073686915,0.040000000000000036,0.515,0.55,0.495,92
3310_46891,8336.053050715216,6700.876316236413,92,42346.885667067305,13,0.0,0.0,0.0,0.0,47421.61478365384,20915.234289398384,21431.65137766892,0.645,0.515,0.55,0.495,92
3311_46880,12752.076585048866,7056.033203125,92,61688.628605769234,13,0.0,0.0,1.0,0.0,49935.004206730766,32802.770192282165,28885.85841348707,0.645,0.515,0.06000000000000005,0.495,92
3311_46889,4101.19981806565,2998.293563179348,92,19415.98223407452,13,5.0,0.0,0.0,0.0,21218.692908653848,36145.31367117633,-16729.33143710181,0.0,0.515,0.55,0.495,92
3311_47014,3393.9749348149203,2351.4131177819295,92,17769.541954627402,13,0.0,0.0,0.0,0.0,16640.769756610578,20915.234289398384,-3145.6923347709817,0.645,0.515,0.55,0.495,92
3312_46884,3529.4265988080583,2261.739151664402,92,16682.331636868992,13,0.0,0.0,0.0,0.0,16006.15399639423,20915.234289398384,-4232.902652529392,0.645,0.515,0.55,0.495,92
3312_46887,4607.029110583267,3455.3153447690215,92,22952.2158203125,13,0.0,0.0,1.0,0.0,24453.00090144231,32802.770192282165,-9850.554371969663,0.645,0.515,0.06000000000000005,0.495,92
3312_46894,6316.570201005338,12557.531196925951,92,46301.570012019234,13,1.0,0.0,0.0,0.0,88868.68231670673,25844.931387721084,20456.63862429815,0.18000000000000005,0.515,0.55,0.495,92
3313_46884,3469.4139119705437,2347.0750785495925,92,16408.096416766828,13,0.0,0.0,1.0,0.0,16610.07707331731,32802.770192282165,-16394.673775515337,0.645,0.515,0.06000000000000005,0.495,92
3313_46885,3116.1128919557414,2227.1305515455165,92,14325.392728365385,13,2.0,0.0,0.0,0.0,15761.231595552885,29250.98376884917,-14925.59104048379,0.040000000000000036,0.515,0.55,0.495,92
3313_46887,3836.050585295712,2582.575832201087,92,18087.53267728365,13,1.0,0.0,0.0,0.0,18276.69050480769,25844.931387721084,-7757.398710437432,0.18000000000000005,0.515,0.55,0.495,92
3314_46885,3196.0859454666283,2178.2283351732335,92,14895.913743239184,13,1.0,0.0,1.0,0.0,15415.154371995191,40534.21211884845,-25638.29837560927,0.18000000000000005,0.515,0.06000000000000005,0.495,92
3314_46887,2814.019347695022,1790.0434888756793,92,13244.776348407451,13,1.0,0.0,0.0,0.0,12668.00067608173,25844.931387721084,-12600.155039313631,0.18000000000000005,0.515,0.55,0.495,92
3314_46895,7108.389777752948,6424.053859544837,92,39045.36279296875,13,1.0,0.0,0.0,0.0,45462.53500600962,25844.931387721084,13200.431405247666,0.18000000000000005,0.515,0.55,0.495,92
3315_46886,2763.8756948788746,1824.565281080163,92,12708.013840895434,13,0.0,0.0,0.0,0.0,12912.308143028846,20915.234289398384,-8207.22044850295,0.645,0.515,0.55,0.495,92
3315_46939,2852.7294582761147,1794.0652067764945,92,13248.15936748798,13,0.0,0.0,1.0,0.0,12696.461463341346,32802.770192282165,-19554.610824794185,0.645,0.515,0.06000000000000005,0.495,92
3316_46883,4368.2901903972615,3846.6092900815215,92,26473.28917518029,13,0.0,0.0,0.0,0.0,27222.150540865383,20915.234289398384,5558.054885781905,0.645,0.515,0.55,0.495,92
3316_46889,6116.834244362744,4092.9558423913045,92,29524.11801382212,13,0.0,0.0,0.0,0.0,28965.533653846152,20915.234289398384,8608.883724423733,0.645,0.515,0.55,0.495,92
3317_46885,4015.526968335417,2747.3585152004075,92,20963.54015174279,13,0.0,0.0,0.0,0.0,19442.844876802883,20915.234289398384,48.305862344404886,0.645,0.515,0.55,0.495,92
3318_46883,5282.833226689145,3870.500042459239,92,26039.94482421875,13,2.0,0.0,0.0,0.0,27391.23106971154,29250.98376884917,-3211.038944630425,0.040000000000000036,0.515,0.55,0.495,92
3318_46884,16303.13897837787,10497.152683423914,92,75666.27884615384,13,1.0,0.0,0.0,0.0,74287.54206730769,25844.931387721084,49821.34745843276,0.18000000000000005,0.515,0.55,0.495,92
3318_46889,10361.93201752087,7103.153277853261,92,50991.80994591346,13,1.0,0.0,0.0,0.0,50268.46935096154,25844.931387721084,25146.878558192377,0.18000000000000005,0.515,0.55,0.495,92
3318_46891,5554.933758407992,4963.796471637228,92,30091.1689077524,13,0.0,0.0,1.0,0.0,35128.38792067308,32802.770192282165,-2711.601284529763,0.645,0.515,0.06000000000000005,0.495,92
3319_46883,17784.927325762757,13933.261548913044,92,92880.78876201923,13,2.0,0.0,2.0,0.0,98604.62019230767,59691.64343099689,33189.145331022344,0.040000000000000036,0.515,0.0050000000000000044,0.495,92
3319_46884,10987.13722145994,8025.488918138587,92,60853.48257211538,13,0.0,0.0,0.0,0.0,56795.76772836538,20915.234289398384,39938.248282717,0.645,0.515,0.55,0.495,92
3321_46887,3727.0097183609405,2507.54346764606,92,18695.508019080527,13,1.0,0.0,0.0,0.0,17745.692232572117,25844.931387721084,-7149.423368640557,0.18000000000000005,0.515,0.55,0.495,92
3344_46898,5001.148772348224,4234.181852921196,92,27367.01941856971,13,0.0,0.0,0.0,0.0,29965.001802884617,20915.234289398384,6451.785129171327,0.645,0.515,0.55,0.495,92
3351_46983,2817.404486480898,2001.0979110054348,92,13178.226506159855,13,1.0,0.0,0.0,0.0,14161.615985576924,25844.931387721084,-12666.704881561229,0.18000000000000005,0.515,0.55,0.495,92
