grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,18358.211569761617,13,0.0,0.0,0.0,0.0,22185.92157451923,19636.53156154551,-1278.3199917838938
3052_46754,17638.59063251202,13,1.0,0.0,0.0,0.0,18561.77088341346,23518.5753806508,-5879.984748138781
3052_46756,397424.81310096156,13,0.0,1.0,0.0,0.0,408414.6298076923,118030.54284327148,279394.2702576901
3053_46755,38200.27233573718,13,0.0,0.0,1.0,0.0,40552.07151442308,29783.51466251312,8416.75767322406
3053_46756,347405.0288461539,13,1.0,1.0,0.0,0.0,358855.125,141363.59872751732,206041.43011863655
3054_46753,31152.861666165867,13,0.0,0.0,0.0,0.0,37312.925330528844,19636.53156154551,11516.330104620356
3054_46755,121203.82587139423,13,3.0,0.0,0.0,0.0,125922.14002403847,28168.040714329913,93035.78515706433
3055_46754,33240.78297776442,13,0.0,1.0,0.0,0.0,36741.380558894234,118030.54284327148,-84789.75986550706
3057_46762,30716.580904447117,13,1.0,0.0,0.0,0.0,30018.769981971152,23518.5753806508,7198.005523796317
3106_46960,23427.244829226765,13,0.0,0.0,0.0,0.0,22156.154747596152,19636.53156154551,3790.7132676812544
3126_47008,18657.494365985578,13,0.0,0.0,0.0,0.0,18525.76817908654,19636.53156154551,-979.037195559933
3129_46988,18992.49891075721,13,0.0,0.0,0.0,0.0,19697.76983173077,19636.53156154551,-644.0326507883001
3146_46979,55090.602964743586,13,1.0,0.0,0.0,0.0,58089.928786057695,23518.5753806508,31572.027584092786
3149_47014,12949.015668820113,13,0.0,0.0,0.0,0.0,12247.386117788461,19636.53156154551,-6687.515892725398
3156_47014,17497.820337540066,13,0.0,0.0,0.0,0.0,15110.924429086539,19636.53156154551,-2138.711224005445
3162_46902,15783.18435121194,13,0.0,0.0,0.0,0.0,15338.692908653846,19636.53156154551,-3853.3472103335716
3164_46999,14764.954508463543,13,0.0,0.0,0.0,0.0,14042.922701322115,19636.53156154551,-4871.577053081968
3170_46902,18782.10740935497,13,0.0,0.0,0.0,0.0,18539.23039362981,19636.53156154551,-854.4241521905424
3172_46989,26429.106921073715,13,0.0,0.0,0.0,0.0,25785.385516826922,19636.53156154551,6792.575359528204
3176_47014,22655.900077624196,13,0.0,0.0,0.0,0.0,22878.385216346152,19636.53156154551,3019.3685160786845
3183_46902,15506.398975861377,13,0.0,0.0,0.0,0.0,15903.537334735576,19636.53156154551,-4130.132585684134
3186_46902,22061.16850711138,13,2.0,0.0,0.0,0.0,22325.690655048078,26136.07287230657,-4074.9043651951906
3188_47014,24666.86542217548,13,0.0,0.0,0.0,0.0,25251.842247596152,19636.53156154551,5030.333860629969
3190_46906,16342.325833834135,13,0.0,0.0,0.0,0.0,17456.154071514422,19636.53156154551,-3294.2057277113763
3190_46978,10795.720897185496,13,0.0,0.0,0.0,0.0,10519.231708233174,19636.53156154551,-8840.810664360015
3201_46924,15276.356182391826,13,0.0,0.0,0.0,0.0,16075.691781850961,19636.53156154551,-4360.175379153685
3206_46983,13741.630990835336,13,0.0,0.0,0.0,0.0,13440.3818359375,19636.53156154551,-5894.900570710175
3208_46975,18813.42462940705,13,0.0,0.0,0.0,0.0,17887.38371394231,19636.53156154551,-823.1069321384603
3210_46983,15732.060503054887,13,0.0,0.0,0.0,0.0,15214.615609975961,19636.53156154551,-3904.4710584906243
3214_46982,15817.307610927483,13,0.0,0.0,0.0,0.0,15970.46259014423,19636.53156154551,-3819.2239506180285
3222_46975,17400.19444861779,13,0.0,0.0,0.0,0.0,17921.23182091346,19636.53156154551,-2236.337112927722
3222_46983,17712.23650340545,13,1.0,0.0,0.0,0.0,17108.30596454327,23518.5753806508,-5806.338877245351
3222_47008,14690.115159254809,13,1.0,0.0,0.0,0.0,14605.38506610577,23518.5753806508,-8828.460221395992
3223_46832,35483.68369391026,13,0.0,0.0,2.0,0.0,34259.53695913462,38001.51756624113,-2517.83387233087
3223_47015,22034.25972180489,13,0.0,0.0,0.0,0.0,21250.461688701922,19636.53156154551,2397.7281602593794
3226_46885,54173.96216446313,13,0.0,0.0,0.0,0.0,52400.46484375,19636.53156154551,34537.43060291762
3228_46887,55945.97485977563,13,0.0,0.0,0.0,0.0,54127.081129807695,19636.53156154551,36309.44329823012
3235_47014,16491.53722205529,13,0.0,0.0,0.0,0.0,15032.308969350961,19636.53156154551,-3144.994339490222
3236_46887,15931.118489583332,13,0.0,0.0,0.0,0.0,15543.92315204327,19636.53156154551,-3705.413071962179
3238_46925,14570.809520232373,13,0.0,0.0,0.0,0.0,14312.461162860576,19636.53156154551,-5065.722041313138
3238_46934,13631.592923677885,13,0.0,0.0,0.0,0.0,14348.38408954327,19636.53156154551,-6004.938637867626
3238_46978,15794.840607471955,13,0.0,0.0,0.0,0.0,15428.61602313702,19636.53156154551,-3841.690954073556
3238_47003,19035.66993439503,13,1.0,0.0,0.0,0.0,18601.0791015625,23518.5753806508,-4482.905446255769
