grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,poi_cnt_life_scarcity_abs,poi_cnt_transport_scarcity_abs,poi_cnt_economy_scarcity_abs,poi_cnt_public_service_scarcity_abs,poi_cnt_life_scarcity_q,poi_cnt_transport_scarcity_q,poi_cnt_economy_scarcity_q,poi_cnt_public_service_scarcity_q,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3052_46756,397424.8131009616,118030.54284327148,279394.2702576901,13,0.0,1.0,0.0,0.0,0.355,0.985,0.45,0.505,0.645,0.015000000000000013,0.55,0.495,transport,public_service,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3295_46915,284049.47215544875,19636.53156154551,264412.94059390324,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3053_46756,347405.0288461539,141363.59872751732,206041.43011863652,13,1.0,1.0,0.0,0.0,0.82,0.985,0.45,0.505,0.18000000000000005,0.015000000000000013,0.55,0.495,transport,life,economy,public_service,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3054_46755,121203.82587139423,28168.040714329916,93035.78515706433,13,3.0,0.0,0.0,0.0,0.99,0.485,0.45,0.505,0.010000000000000009,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3302_46888,102536.56595552884,35671.46400524405,66865.10195028479,13,1.0,0.0,1.0,0.0,0.82,0.485,0.94,0.505,0.18000000000000005,0.515,0.06000000000000005,0.495,economy,life,transport,public_service,0.515,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3296_46900,75993.1796875,19636.53156154551,56356.64812595449,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3318_46884,66396.94143129006,23518.5753806508,42878.36605063926,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3228_46887,55945.97485977563,19636.53156154551,36309.44329823012,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3226_46885,54173.96216446313,19636.53156154551,34537.43060291762,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3146_46979,55090.60296474359,23518.5753806508,31572.027584092782,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3257_47012,59172.77631710737,29783.51466251312,29389.261654594247,13,0.0,0.0,1.0,0.0,0.355,0.485,0.94,0.505,0.645,0.515,0.06000000000000005,0.495,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3319_46884,48258.368113982375,19636.53156154551,28621.836552436864,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3318_46889,46587.32236578526,23518.5753806508,23068.746985134458,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3310_46891,41078.07314202724,19636.53156154551,21441.54158048173,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3311_46880,50675.62319711538,29783.51466251312,20892.108534602263,13,0.0,0.0,1.0,0.0,0.355,0.485,0.94,0.505,0.645,0.515,0.06000000000000005,0.495,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3319_46883,71420.89938902244,50579.4188192878,20841.48056973464,13,2.0,0.0,2.0,0.0,0.96,0.485,0.995,0.505,0.040000000000000036,0.515,0.0050000000000000044,0.495,economy,life,transport,public_service,0.515,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3054_46753,31152.861666165867,19636.53156154551,11516.330104620356,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3053_46755,38200.27233573718,29783.51466251312,8416.75767322406,13,0.0,0.0,1.0,0.0,0.355,0.485,0.94,0.505,0.645,0.515,0.06000000000000005,0.495,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3057_46762,30716.58090444712,23518.5753806508,7198.005523796317,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3172_46989,26429.106921073715,19636.53156154551,6792.575359528204,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3314_46895,29385.349208733976,23518.5753806508,5866.773828083176,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3296_46895,29102.32928936298,23518.5753806508,5583.75390871218,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3316_46889,24735.81237479968,19636.53156154551,5099.280813254169,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3188_47014,24666.86542217548,19636.53156154551,5030.333860629969,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3303_47014,24296.12358523638,19636.53156154551,4659.592023690868,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3344_46898,23504.16150841346,19636.53156154551,3867.62994686795,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3106_46960,23427.244829226765,19636.53156154551,3790.7132676812544,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3176_47014,22655.9000776242,19636.53156154551,3019.3685160786845,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3316_46883,22551.420184795672,19636.53156154551,2914.888623250161,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3295_46894,22419.677346254004,19636.53156154551,2783.145784708493,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3312_46894,26013.526126176883,23518.5753806508,2494.9507455260828,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3223_47015,22034.25972180489,19636.53156154551,2397.72816025938,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3240_46979,21813.48167693309,19636.53156154551,2176.950115387579,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3307_46896,24713.74884815705,23518.5753806508,1195.1734675062544,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
