grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_negative
3055_46754,33240.78297776442,13,0.0,1.0,0.0,0.0,36741.38055889424,118030.54284327148,-84789.75986550706,1
3286_46873,50996.41979667468,13,0.0,1.0,0.0,0.0,56176.45793269231,118030.54284327148,-67034.1230465968,2
3315_46939,8405.526777218549,13,0.0,0.0,1.0,0.0,7018.000356820913,29783.51466251312,-21377.98788529457,3
3314_46885,14898.785306490385,13,1.0,0.0,1.0,0.0,15865.38634314904,35671.46400524405,-20772.67869875367,4
3313_46884,16086.94430463742,13,0.0,0.0,1.0,0.0,16386.767127403848,29783.51466251312,-13696.5703578757,5
3314_46887,10678.72231194912,13,1.0,0.0,0.0,0.0,12553.61463341346,23518.5753806508,-12839.85306870168,6
3311_46889,18765.21602063301,13,5.0,0.0,0.0,0.0,19906.84855769231,31302.97798334063,-12537.761962707616,7
3310_46886,14160.380596454326,13,2.0,0.0,0.0,0.0,14165.613731971154,26136.07287230657,-11975.692275852243,8
3351_46983,13103.92041015625,13,1.0,0.0,0.0,0.0,12593.922325721154,23518.5753806508,-10414.65497049455,9
3313_46885,16206.438320062098,13,2.0,0.0,0.0,0.0,17945.61591045673,26136.07287230657,-9929.634552244472,10
3190_46978,10795.720897185496,13,0.0,0.0,0.0,0.0,10519.231708233174,19636.53156154551,-8840.810664360015,11
3222_47008,14690.115159254809,13,1.0,0.0,0.0,0.0,14605.38506610577,23518.5753806508,-8828.460221395992,12
3308_46883,14998.307379306889,13,1.0,0.0,0.0,0.0,14827.307391826924,23518.5753806508,-8520.268001343911,13
3315_46886,11377.50264798678,13,0.0,0.0,0.0,0.0,12154.46228966346,19636.53156154551,-8259.028913558732,14
3299_46914,15944.150002504008,13,1.0,0.0,0.0,0.0,15094.076171875,23518.5753806508,-7574.425378146792,15
3321_46887,16358.260823567707,13,1.0,0.0,0.0,0.0,15855.305889423076,23518.5753806508,-7160.314557083091,16
3244_46887,12908.529966696717,13,0.0,0.0,0.0,0.0,11980.923490084137,19636.53156154551,-6728.001594848796,17
3149_47014,12949.015668820111,13,0.0,0.0,0.0,0.0,12247.38611778846,19636.53156154551,-6687.515892725398,18
3312_46887,23608.34405048077,13,0.0,0.0,1.0,0.0,25605.53876201923,29783.51466251312,-6175.170612032351,19
3238_46934,13631.592923677885,13,0.0,0.0,0.0,0.0,14348.38408954327,19636.53156154551,-6004.938637867626,20
