grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_positive
3052_46756,397424.8131009616,13,0.0,1.0,0.0,0.0,408414.6298076923,118030.54284327148,279394.2702576901,1
3295_46915,284049.47215544875,13,0.0,0.0,0.0,0.0,293090.77764423075,19636.53156154551,264412.94059390324,2
3053_46756,347405.0288461539,13,1.0,1.0,0.0,0.0,358855.125,141363.59872751732,206041.43011863652,3
3054_46755,121203.82587139423,13,3.0,0.0,0.0,0.0,125922.14002403848,28168.040714329916,93035.78515706433,4
3302_46888,102536.56595552884,13,1.0,0.0,1.0,0.0,107887.23317307692,35671.46400524405,66865.10195028479,5
3296_46900,75993.1796875,13,0.0,0.0,0.0,0.0,80477.98948317308,19636.53156154551,56356.64812595449,6
3318_46884,66396.94143129006,13,1.0,0.0,0.0,0.0,64383.61899038462,23518.5753806508,42878.36605063926,7
3228_46887,55945.97485977563,13,0.0,0.0,0.0,0.0,54127.081129807695,19636.53156154551,36309.44329823012,8
3226_46885,54173.96216446313,13,0.0,0.0,0.0,0.0,52400.46484375,19636.53156154551,34537.43060291762,9
3146_46979,55090.60296474359,13,1.0,0.0,0.0,0.0,58089.928786057695,23518.5753806508,31572.027584092782,10
3257_47012,59172.77631710737,13,0.0,0.0,1.0,0.0,62264.995793269234,29783.51466251312,29389.261654594247,11
3319_46884,48258.368113982375,13,0.0,0.0,0.0,0.0,55017.30979567308,19636.53156154551,28621.836552436864,12
3318_46889,46587.32236578526,13,1.0,0.0,0.0,0.0,46116.99849759616,23518.5753806508,23068.746985134458,13
3310_46891,41078.07314202724,13,0.0,0.0,0.0,0.0,39025.23302283654,19636.53156154551,21441.54158048173,14
3311_46880,50675.62319711538,13,0.0,0.0,1.0,0.0,54699.082331730766,29783.51466251312,20892.108534602263,15
3319_46883,71420.89938902244,13,2.0,0.0,2.0,0.0,69534.99849759616,50579.4188192878,20841.48056973464,16
3054_46753,31152.861666165867,13,0.0,0.0,0.0,0.0,37312.92533052885,19636.53156154551,11516.330104620356,17
3053_46755,38200.27233573718,13,0.0,0.0,1.0,0.0,40552.07151442308,29783.51466251312,8416.75767322406,18
3057_46762,30716.58090444712,13,1.0,0.0,0.0,0.0,30018.769981971152,23518.5753806508,7198.005523796317,19
3172_46989,26429.106921073715,13,0.0,0.0,0.0,0.0,25785.38551682692,19636.53156154551,6792.575359528204,20
